Марка;Модель;Госномер;Год;Пробег;Статус;Цена за час
Toyota;Camry;А123ВС77;2020;45000;Доступна;500
BMW;X5;В456ЕК99;2021;30000;Доступна;1200
Kia;Rio;С789МН50;2019;60000;На обслуживании;350
Mercedes;E-Class;Е012УР177;2022;15000;Доступна;1500
Hyundai;Solaris;К345АВ197;2020;55000;Доступна;400
Volkswagen;Polo;М678ТТ199;2021;28000;Доступна;450
Audi;A4;О234НН777;2022;12000;Доступна;1100
Renault;Logan;П901КХ150;2018;75000;Доступна;320
Ford;Focus;Р567МР777;2020;42000;Доступна;480
Mazda;CX-5;С890АО197;2021;35000;Доступна;750
